cost_id,cost_date,state,cost_type,cost_amount
COST000578,2017-11-29,MG,logistics,6835.45
COST000579,2018-05-07,RJ,customer_support,7928.12
COST000580,2018-05-05,SC,technology,362.47
COST000581,2017-09-07,BA,marketing,4066.9
COST000582,2017-04-03,DF,marketing,7496.55
COST000583,2018-02-23,DF,payroll,1005.93
COST000584,2018-04-16,RJ,customer_support,1964.91
COST000585,2017-11-30,SP,payroll,5137.69
COST000586,2017-03-21,SC,logistics,8944.34
COST000587,2018-02-04,RS,payroll,3355.55
COST000588,2017-10-23,PR,logistics,8295.37
COST000589,2017-05-07,RJ,marketing,191.03
COST000590,2017-08-20,RJ,customer_support,1902.12
COST000591,2018-09-12,DF,customer_support,2974.18
COST000592,2017-02-17,SP,logistics,7120.27
COST000593,2018-04-12,SP,logistics,5834.98
COST000594,2017-12-07,RS,warehouse,2717.4
COST000595,2018-09-24,DF,payroll,5856.82
COST000596,2017-11-01,MG,technology,8908.64
COST000597,2017-07-28,MG,warehouse,4747.02
COST000598,2017-03-30,SP,warehouse,6991.12
COST000599,2018-01-17,DF,warehouse,3520.48
COST000600,2018-07-29,RS,technology,7154.91
COST000601,2017-07-24,SP,technology,8683.57
COST000602,2017-11-17,MG,warehouse,5710.22
COST000603,2017-08-14,PR,customer_support,3923.01
COST000604,2017-03-23,RJ,marketing,7567.11
COST000605,2017-08-20,DF,warehouse,9565.57
COST000606,2018-01-21,DF,customer_support,774.76
COST000607,2018-01-30,RJ,customer_support,5212.39
COST000608,2018-08-19,RS,logistics,1901.87
COST000609,2017-11-04,DF,logistics,2812.81
COST000610,2017-09-23,DF,customer_support,6397.83
COST000611,2017-03-20,MG,technology,9601.95
COST000612,2017-12-18,SC,logistics,8545.09
COST000613,2017-08-11,RS,payroll,2650.27
COST000614,2017-05-18,RS,payroll,339.3
COST000615,2017-07-30,RS,warehouse,6033.39
COST000616,2018-09-29,RJ,customer_support,5385.19
COST000617,2018-07-01,DF,payroll,4656.73
COST000618,2017-09-05,RS,payroll,4804.77
COST000619,2017-01-30,DF,customer_support,5957.91
COST000620,2017-11-07,MG,warehouse,4030.79
COST000621,2017-07-31,SC,payroll,1795.36
COST000622,2017-02-24,MG,marketing,2665.6
COST000623,2018-03-14,SC,customer_support,732.36
COST000624,2018-02-27,PR,customer_support,654.89
COST000625,2017-08-26,SC,payroll,8687.28
COST000626,2017-11-14,MG,technology,1341.27
COST000627,2017-02-16,RJ,marketing,782.33
COST000628,2017-10-27,DF,warehouse,8281.11
COST000629,2018-05-23,MG,customer_support,9540.09
COST000630,2018-01-04,BA,customer_support,2136.81
COST000631,2017-01-06,BA,warehouse,7597.17
COST000632,2018-01-30,SC,marketing,1709.18
COST000633,2017-09-20,SP,warehouse,6839.42
COST000634,2017-05-10,RS,technology,6829.41
COST000635,2018-05-06,SC,customer_support,4350.1
COST000636,2018-09-04,PR,logistics,8831.92
COST000637,2017-03-22,DF,logistics,1298.39
COST000638,2018-05-22,BA,warehouse,4817.83
COST000639,2017-02-12,SP,customer_support,6057.25
COST000640,2017-11-20,BA,technology,7614.54
COST000641,2017-08-18,MG,warehouse,1512.59
COST000642,2017-09-03,MG,logistics,5395.82
COST000643,2018-06-26,SC,technology,4604.1
COST000644,2017-08-12,DF,warehouse,4222.5
COST000645,2017-10-30,RS,payroll,3657.46
COST000646,2017-11-30,DF,logistics,9969.57
COST000647,2017-08-12,RS,logistics,1784.03
COST000648,2017-08-22,DF,technology,7554.54
COST000649,2017-04-12,RJ,payroll,3831.4
COST000650,2017-08-25,SC,payroll,6525.96
COST000651,2017-11-14,PR,customer_support,9884.16
COST000652,2018-06-18,DF,customer_support,4829.63
COST000653,2017-11-25,RJ,marketing,8262.05
COST000654,2017-09-16,MG,logistics,851.8
COST000655,2018-01-11,DF,marketing,5590.58
COST000656,2018-09-23,BA,payroll,3883.32
COST000657,2018-03-06,SC,technology,7021.74
COST000658,2018-02-24,PR,warehouse,464.99
COST000659,2017-07-25,PR,customer_support,4532.4
COST000660,2018-01-17,SC,warehouse,4996.18
COST000661,2017-10-07,BA,logistics,8462.46
COST000662,2018-06-19,BA,payroll,3908.27
COST000663,2017-10-08,RJ,marketing,3274.08
COST000664,2017-05-03,MG,technology,3951.94
COST000665,2017-08-27,DF,warehouse,4434.3
COST000666,2017-03-06,DF,warehouse,2619.88
COST000667,2017-05-31,MG,warehouse,548.04
COST000668,2017-10-02,RJ,customer_support,9903.99
COST000669,2017-07-30,PR,marketing,7678.24
COST000670,2018-08-13,PR,customer_support,9855.95
COST000671,2017-10-31,SP,customer_support,6661.22
COST000672,2017-12-05,SC,customer_support,8841.16
COST000673,2018-07-06,RJ,customer_support,4558.07
COST000674,2017-12-23,DF,logistics,3556.63
COST000675,2017-12-06,MG,logistics,9938.47
COST000676,2017-03-15,SP,customer_support,1778.14
COST000677,2017-10-08,BA,technology,2245.82
COST000678,2017-05-08,BA,marketing,6714.89
COST000679,2018-07-24,RJ,logistics,2627.49
COST000680,2017-09-17,SC,payroll,4365.37
COST000681,2018-02-01,BA,marketing,9328.79
COST000682,2017-02-21,PR,customer_support,2731.25
COST000683,2017-07-09,RS,customer_support,5155.68
COST000684,2018-07-19,RJ,warehouse,7393.06
COST000685,2018-09-22,PR,warehouse,811.14
COST000686,2017-06-27,SC,marketing,813.79
COST000687,2017-12-22,DF,marketing,7484.49
COST000688,2017-01-06,DF,marketing,9208.58
COST000689,2017-03-08,RS,warehouse,5959.1
COST000690,2017-09-27,MG,technology,477.86
COST000691,2018-08-06,BA,customer_support,4573.08
COST000692,2017-09-09,DF,logistics,7232.55
COST000693,2017-02-08,DF,marketing,6354.7
COST000694,2018-07-08,BA,logistics,2061.99
COST000695,2017-07-02,RS,payroll,625.94
COST000696,2018-01-24,MG,logistics,8904.13
COST000697,2018-03-04,DF,logistics,2336.22
COST000698,2017-09-26,DF,payroll,9958.17
COST000699,2017-04-11,RS,payroll,1242.66
COST000700,2017-01-02,BA,customer_support,1232.09
COST000701,2017-04-29,DF,marketing,6714.48
COST000702,2017-01-17,BA,customer_support,2774.33
COST000703,2017-10-07,PR,payroll,9746.49
COST000704,2018-06-01,SP,payroll,2446.48
COST000705,2018-02-28,MG,warehouse,6273.75
COST000706,2018-05-25,DF,logistics,4123.54
COST000707,2017-02-11,SC,technology,993.92
COST000708,2017-06-21,RJ,customer_support,7109.13
COST000709,2017-09-09,RS,logistics,7925.22
COST000710,2017-02-09,RJ,technology,8283.02
COST000711,2017-04-14,MG,payroll,4950.88
COST000712,2018-05-27,MG,customer_support,9761.43
COST000713,2017-04-30,RS,customer_support,8017.72
COST000714,2018-02-09,RJ,warehouse,4457.21
COST000715,2017-06-23,SP,customer_support,1084.63
COST000716,2017-04-15,DF,logistics,2618.38
COST000717,2018-02-15,SP,logistics,7744.19
COST000718,2017-05-03,DF,technology,8808.62
COST000719,2017-09-23,SP,customer_support,6658.09
COST000720,2017-09-19,SC,marketing,3940.42
COST000721,2017-10-23,BA,customer_support,3624.25
COST000722,2018-04-24,SC,logistics,3652.01
COST000723,2017-01-28,SP,payroll,4965.54
COST000724,2017-11-03,SP,technology,7285.57
COST000725,2018-04-24,RS,logistics,1715.09
COST000726,2017-09-19,SP,marketing,306.93
COST000727,2018-09-10,MG,logistics,856.89
COST000728,2018-09-04,BA,customer_support,6691.9
COST000729,2017-08-13,SC,technology,8502.2
COST000730,2018-09-24,BA,marketing,4125.08
COST000731,2018-07-28,MG,warehouse,3442.88
COST000732,2017-09-11,DF,logistics,297.89
COST000733,2017-12-11,RS,marketing,702.79
COST000734,2017-10-29,SP,payroll,7571.99
COST000735,2017-12-16,SC,technology,987.02
COST000736,2017-07-21,RS,marketing,8300.9
COST000737,2018-09-01,DF,technology,7832.75
COST000738,2018-07-11,RS,customer_support,8212.69
COST000739,2017-03-21,PR,customer_support,6890.73
COST000740,2018-01-29,MG,warehouse,308.27
COST000741,2017-08-01,RJ,technology,4489.93
COST000742,2017-01-20,BA,warehouse,1656.07
COST000743,2017-07-23,RS,customer_support,3447.2
COST000744,2018-07-21,DF,logistics,5618.29
COST000745,2017-09-24,DF,logistics,7346.19
COST000746,2017-11-13,RS,logistics,2398.54
COST000747,2018-05-13,BA,payroll,3414.8
COST000748,2018-04-13,RS,logistics,2178.62
COST000749,2018-06-25,SC,payroll,9844.0
COST000750,2017-03-31,DF,payroll,9298.86
COST000751,2017-12-09,SC,warehouse,6571.79
COST000752,2017-12-18,SP,logistics,8265.84
COST000753,2018-07-20,RJ,payroll,7216.82
COST000754,2017-10-03,SP,technology,8501.11
COST000755,2017-03-16,SP,warehouse,9366.24
COST000756,2017-03-02,RJ,logistics,9311.42
COST000757,2018-01-24,PR,customer_support,5788.26
COST000758,2018-01-29,MG,payroll,9650.13
COST000759,2017-02-22,SC,payroll,4134.85
COST000760,2017-04-27,MG,warehouse,2015.25
COST000761,2018-03-16,MG,warehouse,2391.62
COST000762,2017-04-12,SP,warehouse,4639.62
COST000763,2018-01-09,BA,customer_support,2605.9
COST000764,2018-02-08,DF,logistics,1358.37
COST000765,2017-07-29,SP,payroll,4027.97
COST000766,2017-11-16,BA,technology,5854.17
COST000767,2018-03-10,SP,customer_support,9683.15
COST000768,2017-01-07,BA,technology,6243.37
COST000769,2018-01-25,PR,technology,7761.75
COST000770,2017-06-15,SP,warehouse,6853.75
COST000771,2018-02-01,DF,warehouse,3908.25
COST000772,2018-03-31,RJ,customer_support,1971.95
COST000773,2017-07-12,SP,customer_support,2894.36
COST000774,2017-03-25,DF,warehouse,8777.68
COST000775,2017-04-12,SP,logistics,1641.39
COST000776,2017-07-03,RS,customer_support,1065.89
COST000777,2017-09-25,SC,customer_support,8547.02
COST000778,2017-04-30,RJ,payroll,5527.21
COST000779,2018-03-13,RS,technology,6856.76
COST000780,2017-11-30,RS,payroll,8275.71
COST000781,2018-03-15,SP,technology,3466.28
COST000782,2017-07-24,PR,payroll,7526.16
COST000783,2017-12-17,DF,warehouse,6346.74
COST000784,2018-06-13,BA,logistics,345.66
COST000785,2017-12-06,BA,technology,7231.44
COST000786,2018-04-10,DF,marketing,3508.45
COST000787,2017-10-19,RJ,technology,2158.9
COST000788,2017-02-13,SP,customer_support,9614.62
COST000789,2018-06-15,DF,logistics,7718.56
COST000790,2017-05-24,MG,payroll,342.47
COST000791,2018-04-16,MG,technology,7622.38
COST000792,2018-01-07,PR,payroll,8518.54
COST000793,2018-05-22,RJ,warehouse,3627.46
COST000794,2018-09-16,RJ,logistics,3331.87
COST000795,2017-07-31,RS,logistics,4294.44
COST000796,2017-04-14,DF,technology,4715.63
COST000797,2017-07-26,MG,payroll,3867.83
COST000798,2017-05-18,DF,marketing,5111.23
COST000799,2017-08-20,SC,payroll,9728.43
COST000800,2017-08-31,MG,payroll,417.57
COST000801,2017-12-25,MG,customer_support,9827.31
COST000802,2017-06-11,RJ,payroll,8509.37
COST000803,2018-02-17,SP,payroll,7993.68
COST000804,2018-02-18,DF,payroll,4557.9
COST000805,2017-03-17,DF,customer_support,843.24
COST000806,2018-05-30,MG,technology,6226.28
COST000807,2018-01-17,MG,technology,8953.11
COST000808,2018-02-14,DF,marketing,4307.95
COST000809,2017-07-11,PR,customer_support,786.12
COST000810,2018-05-31,RS,logistics,153.52
COST000811,2018-07-29,BA,logistics,1282.09
COST000812,2017-11-14,PR,marketing,6098.84
COST000813,2017-02-02,SP,customer_support,9909.96
COST000814,2017-04-11,PR,customer_support,7149.87
COST000815,2017-01-30,SC,payroll,1655.79
COST000816,2017-01-07,BA,warehouse,8640.4
COST000817,2017-02-06,BA,technology,6636.61
COST000818,2017-11-11,BA,marketing,3085.42
COST000819,2018-08-06,PR,logistics,5066.56
COST000820,2018-07-21,SC,payroll,4089.77
COST000821,2017-07-27,MG,payroll,8725.01
COST000822,2017-03-05,MG,customer_support,9537.81
COST000823,2017-07-27,BA,payroll,1324.5
COST000824,2017-05-14,DF,warehouse,1559.63
COST000825,2017-08-09,RS,marketing,916.34
COST000826,2017-01-19,SC,technology,3862.31
COST000827,2018-03-27,RS,technology,9713.46
COST000828,2018-07-02,PR,technology,9874.36
COST000829,2017-05-22,RJ,payroll,5999.86
COST000830,2017-11-14,RJ,logistics,4688.75
COST000831,2017-08-22,RS,payroll,3093.55
COST000832,2017-07-10,SP,payroll,104.83
COST000833,2018-05-31,RS,customer_support,2702.16
COST000834,2018-08-27,SC,customer_support,1548.4
COST000835,2017-02-12,PR,warehouse,119.64
COST000836,2018-09-30,SC,payroll,8970.34
COST000837,2017-01-11,DF,payroll,934.94
COST000838,2018-05-27,RJ,warehouse,7115.51
COST000839,2017-08-20,DF,payroll,9252.8
COST000840,2018-03-13,SC,marketing,1358.05
COST000841,2017-11-14,BA,marketing,2480.85
COST000842,2017-12-22,PR,marketing,2426.88
COST000843,2017-03-03,SP,warehouse,952.54
COST000844,2017-02-18,MG,customer_support,9106.23
COST000845,2017-04-08,SC,technology,8505.68
COST000846,2018-02-17,RS,marketing,3869.52
COST000847,2017-07-30,MG,logistics,7717.55
COST000848,2018-09-03,BA,customer_support,5143.2
COST000849,2017-03-23,RJ,logistics,6822.89
COST000850,2018-05-21,SC,payroll,6922.55
COST000851,2017-12-31,SP,customer_support,7775.66
COST000852,2018-09-15,BA,technology,9001.89
COST000853,2018-07-28,SC,payroll,7912.0
COST000854,2018-09-01,PR,customer_support,7094.66
COST000855,2018-04-27,RS,marketing,6257.78
COST000856,2018-08-13,RJ,logistics,2169.96
COST000857,2018-03-11,SP,warehouse,2903.05
COST000858,2017-05-05,PR,technology,846.05
COST000859,2017-07-20,PR,payroll,2651.99
COST000860,2017-10-21,SC,customer_support,5485.02
COST000861,2017-05-14,DF,logistics,9541.45
COST000862,2017-02-01,RJ,marketing,1355.38
COST000863,2017-05-24,PR,marketing,4483.66
COST000864,2017-12-02,BA,technology,7533.32
COST000865,2018-03-12,MG,payroll,7957.18
COST000866,2018-07-07,MG,marketing,1991.49
COST000867,2018-07-09,SP,logistics,1865.26
COST000868,2017-10-20,MG,payroll,6145.97
COST000869,2018-08-12,DF,logistics,9149.07
COST000870,2018-01-27,RJ,marketing,8063.15
COST000871,2017-10-01,BA,logistics,3905.66
COST000872,2017-09-03,SP,marketing,6617.8
COST000873,2017-03-31,RS,warehouse,2622.85
COST000874,2018-07-27,PR,payroll,4770.24
COST000875,2018-03-29,MG,logistics,5401.21
COST000876,2018-07-09,RS,payroll,6413.63
COST000877,2017-07-25,PR,logistics,4063.55
COST000878,2017-06-14,RJ,marketing,416.93
COST000879,2018-03-20,RS,marketing,9287.76
COST000880,2018-02-01,SP,warehouse,9566.78
COST000881,2017-08-04,RJ,logistics,6901.22
COST000882,2017-05-11,MG,warehouse,2737.06
COST000883,2017-04-07,RS,logistics,5987.95
COST000884,2018-05-24,SC,warehouse,2833.43
COST000885,2017-10-13,DF,payroll,7018.44
COST000886,2017-08-30,RJ,customer_support,3666.83
COST000887,2018-08-31,RJ,marketing,5618.73
COST000888,2017-10-31,RS,logistics,683.56
COST000889,2018-05-10,MG,technology,9962.3
COST000890,2017-03-19,RJ,technology,6655.28
COST000891,2017-09-26,SC,marketing,9406.42
COST000892,2018-05-09,RS,technology,7471.02
COST000893,2018-02-18,RJ,technology,5662.66
COST000894,2018-04-01,SP,technology,7390.75
COST000895,2017-05-20,RS,warehouse,4746.04
COST000896,2018-01-18,RS,warehouse,9597.03
COST000897,2017-05-07,SC,logistics,7765.89
COST000898,2017-11-27,RJ,customer_support,1298.3
COST000899,2017-04-04,BA,warehouse,9511.5
COST000900,2017-01-05,RS,payroll,5800.09
COST000901,2017-06-13,SP,logistics,4559.63
COST000902,2017-03-24,DF,technology,7942.69
COST000903,2018-03-27,SC,technology,2363.95
COST000904,2017-01-24,MG,marketing,9586.19
COST000905,2017-02-22,SP,logistics,1746.72
COST000906,2018-05-23,SC,technology,3027.26
COST000907,2018-05-11,DF,warehouse,8901.5
COST000908,2018-01-18,SC,technology,6122.5
COST000909,2017-11-28,RS,technology,8559.75
COST000910,2018-08-28,RS,marketing,2073.41
COST000911,2017-06-21,RJ,technology,8057.46
COST000912,2018-01-29,PR,payroll,1866.06
COST000913,2018-04-06,PR,payroll,7457.88
COST000914,2017-06-12,DF,technology,1630.01
COST000915,2017-01-20,MG,technology,3495.43
COST000916,2017-11-12,RJ,payroll,4814.48
COST000917,2018-02-24,SC,warehouse,9196.44
COST000918,2017-08-06,SP,logistics,7344.11
COST000919,2017-10-13,RJ,payroll,2889.41
COST000920,2017-04-08,RJ,marketing,4519.87
COST000921,2018-04-15,SP,payroll,3565.4
COST000922,2017-09-19,DF,logistics,9404.57
COST000923,2017-08-30,BA,payroll,1828.82
COST000924,2017-10-22,DF,customer_support,9165.3
COST000925,2018-08-16,RJ,logistics,8295.83
COST000926,2018-06-01,BA,warehouse,1374.06
COST000927,2018-07-18,RS,warehouse,2804.1
COST000928,2018-08-02,MG,technology,7133.18
COST000929,2017-09-18,PR,warehouse,7102.14
COST000930,2018-05-14,DF,payroll,2413.51
COST000931,2017-07-27,SP,marketing,6372.69
COST000932,2018-08-25,DF,payroll,6905.99
COST000933,2018-08-04,PR,warehouse,812.97
COST000934,2018-08-15,DF,marketing,3871.43
COST000935,2017-06-30,RS,warehouse,9071.56
COST000936,2017-10-09,PR,logistics,9014.94
COST000937,2018-03-12,RS,payroll,6652.16
COST000938,2018-03-09,PR,marketing,6561.68
COST000939,2018-03-10,BA,customer_support,8568.58
COST000940,2017-07-31,BA,technology,3487.33
COST000941,2018-06-01,MG,marketing,591.61
COST000942,2018-05-22,RS,marketing,8479.15
COST000943,2018-01-14,SP,customer_support,3190.63
COST000944,2018-02-15,SP,customer_support,6760.3
COST000945,2018-02-03,RJ,marketing,4932.89
COST000946,2017-08-22,RJ,technology,1533.34
COST000947,2017-04-24,MG,marketing,4242.12
COST000948,2018-06-30,BA,payroll,2698.88
COST000949,2018-02-11,PR,marketing,181.81
COST000950,2017-11-30,SC,warehouse,5286.8
COST000951,2017-09-13,BA,marketing,5684.2
COST000952,2018-03-07,PR,marketing,3128.8
COST000953,2017-12-01,DF,technology,3012.49
COST000954,2017-08-13,SC,logistics,4525.03
COST000955,2017-08-13,SC,technology,6215.34
COST000956,2017-02-01,RS,technology,9688.52
COST000957,2018-09-16,SC,marketing,4829.88
COST000958,2017-11-22,MG,customer_support,9342.44
COST000959,2017-12-02,BA,logistics,9752.07
COST000960,2017-09-17,SC,technology,6121.88
COST000961,2018-07-19,RS,warehouse,5650.21
COST000962,2017-01-21,DF,logistics,696.53
COST000963,2018-07-23,SP,customer_support,2309.74
COST000964,2017-06-18,BA,technology,9981.79
COST000965,2017-08-20,SP,marketing,7486.33
COST000966,2018-03-07,PR,customer_support,6712.98
COST000967,2017-02-17,RJ,warehouse,5709.92
COST000968,2017-05-01,RJ,customer_support,6859.8
COST000969,2017-09-19,SP,logistics,6839.48
COST000970,2017-03-23,RS,customer_support,2293.27
COST000971,2017-07-12,PR,warehouse,7869.14
COST000972,2018-09-15,RS,payroll,4706.25
COST000973,2018-07-14,RJ,technology,7045.48
COST000974,2017-10-12,DF,marketing,3540.45
COST000975,2018-01-14,MG,customer_support,5816.56
COST000976,2018-06-20,BA,customer_support,7378.12
COST000977,2017-04-26,BA,payroll,6156.57
COST000978,2017-08-07,RJ,marketing,6370.11
COST000979,2018-03-11,RS,technology,1933.78
COST000980,2018-01-16,RJ,customer_support,5108.37
COST000981,2017-03-22,RJ,payroll,2815.85
COST000982,2018-06-21,RJ,logistics,3765.07
COST000983,2017-03-08,RJ,payroll,8038.11
COST000984,2018-05-20,PR,customer_support,571.85
COST000985,2017-11-14,SP,customer_support,2648.8
COST000986,2018-08-04,RJ,logistics,7912.84
COST000987,2018-01-28,DF,logistics,8478.84
COST000988,2018-03-19,SC,marketing,2208.41
COST000989,2018-02-17,RJ,warehouse,1736.1
COST000990,2018-02-24,PR,warehouse,8012.75
COST000991,2018-01-10,PR,customer_support,7201.77
COST000992,2018-03-28,MG,logistics,5675.67
COST000993,2017-06-07,PR,technology,4634.27
COST000994,2018-09-19,MG,warehouse,8765.27
COST000995,2017-10-01,DF,warehouse,2865.44
COST000996,2018-03-28,MG,technology,6510.7
COST000997,2018-08-21,DF,marketing,9307.05
COST000998,2017-09-24,RJ,logistics,1802.22
COST000999,2018-07-04,SC,customer_support,2012.8
COST001000,2018-03-13,BA,payroll,1275.67
COST001001,2017-12-14,RS,payroll,2743.61
COST001002,2017-01-16,SC,logistics,5731.64
COST001003,2018-04-24,BA,marketing,3360.71
COST001004,2017-07-04,DF,customer_support,5637.29
COST001005,2017-11-22,RJ,payroll,4881.83
COST001006,2018-08-26,SP,customer_support,5356.27
COST001007,2018-02-13,SC,customer_support,9524.04
COST001008,2017-08-02,BA,warehouse,2149.02
COST001009,2017-06-07,MG,marketing,6739.62
COST001010,2018-01-08,RS,technology,4801.19
COST001011,2017-12-29,PR,logistics,6827.51
COST001012,2017-08-14,BA,payroll,6021.66
COST001013,2017-06-16,PR,logistics,7587.48
COST001014,2018-06-07,PR,technology,5384.16
COST001015,2017-06-26,RS,payroll,7047.53
COST001016,2017-09-14,DF,logistics,7379.27
COST001017,2017-09-18,PR,technology,1863.1
COST001018,2017-06-20,PR,warehouse,9256.56
COST001019,2018-08-06,MG,technology,7273.37
COST001020,2017-10-25,PR,marketing,1058.17
COST001021,2017-06-30,DF,marketing,8622.67
COST001022,2018-01-17,DF,technology,1988.42
COST001023,2018-07-15,BA,customer_support,5905.09
COST001024,2018-06-03,RS,customer_support,3199.87
COST001025,2018-03-10,PR,warehouse,5800.04
COST001026,2018-09-19,RJ,logistics,8892.61
COST001027,2017-11-26,DF,logistics,8917.67
COST001028,2018-04-23,MG,warehouse,7881.92
COST001029,2018-05-08,SP,payroll,8165.74
COST001030,2018-02-20,DF,technology,5126.36
COST001031,2018-06-07,RJ,marketing,8696.97
COST001032,2017-08-24,DF,marketing,4723.99
COST001033,2018-09-26,SP,marketing,2162.5
COST001034,2017-09-25,RS,customer_support,8989.71
COST001035,2017-03-09,SP,customer_support,4649.56
COST001036,2017-01-03,SC,logistics,6047.77
COST001037,2018-04-08,DF,logistics,6302.33
COST001038,2018-06-25,SC,warehouse,914.44
COST001039,2018-01-21,SP,payroll,3604.44
COST001040,2017-06-01,SC,customer_support,3652.05
COST001041,2017-06-27,PR,technology,7195.58
COST001042,2017-11-17,MG,marketing,6804.57
COST001043,2017-08-14,DF,warehouse,9890.34
COST001044,2017-08-31,SP,payroll,7337.46
COST001045,2018-04-27,BA,logistics,2304.99
COST001046,2017-02-09,SC,marketing,3522.82
COST001047,2017-11-18,RS,technology,1753.87
COST001048,2017-01-07,DF,customer_support,8633.87
COST001049,2018-04-30,RS,marketing,8474.25
COST001050,2018-02-06,RS,marketing,9144.52
COST001051,2017-03-26,SC,technology,6631.57
COST001052,2017-09-23,DF,customer_support,2761.74
COST001053,2017-07-24,PR,warehouse,8977.11
COST001054,2018-07-13,DF,technology,2799.8
COST001055,2017-04-01,RJ,customer_support,3902.36
COST001056,2017-09-23,PR,customer_support,316.54
COST001057,2017-10-02,PR,technology,5822.22
COST001058,2017-10-26,SP,logistics,4412.14
COST001059,2018-02-12,MG,warehouse,6514.21
COST001060,2017-09-16,BA,warehouse,9682.64
COST001061,2017-02-04,RS,payroll,667.09
COST001062,2017-11-08,MG,payroll,1005.67
COST001063,2017-07-27,RJ,logistics,5684.78
COST001064,2017-09-17,DF,customer_support,9979.15
COST001065,2017-07-31,MG,logistics,2951.15
COST001066,2018-01-29,MG,payroll,5410.85
COST001067,2017-08-14,RJ,payroll,2116.75
COST001068,2017-06-09,RJ,warehouse,5344.37
COST001069,2017-11-20,BA,payroll,1915.36
COST001070,2017-03-01,BA,technology,1853.48
COST001071,2018-03-26,BA,customer_support,3452.98
COST001072,2018-06-13,BA,marketing,9402.23
COST001073,2017-09-10,RS,technology,6628.5
COST001074,2018-02-11,RS,customer_support,3779.56
COST001075,2018-08-17,DF,payroll,6422.87
COST001076,2017-08-12,BA,marketing,2075.03
COST001077,2018-02-01,RJ,logistics,6410.93
COST001078,2017-01-08,RJ,payroll,9210.48
COST001079,2018-02-17,DF,payroll,9375.73
COST001080,2017-08-06,SC,logistics,5906.15
COST001081,2018-01-17,PR,payroll,8808.02
COST001082,2018-01-15,RS,marketing,3934.36
COST001083,2017-01-16,SC,logistics,8867.29
COST001084,2018-09-02,SC,logistics,3408.27
COST001085,2017-12-10,BA,warehouse,7061.07
COST001086,2017-06-19,DF,payroll,9197.22
COST001087,2017-08-20,RS,warehouse,5693.61
COST001088,2017-01-12,PR,marketing,2818.38
COST001089,2018-03-25,PR,customer_support,7009.55
COST001090,2018-09-25,SC,marketing,1216.33
COST001091,2018-07-25,BA,logistics,3522.96
COST001092,2018-07-31,RS,warehouse,8969.21
COST001093,2018-02-06,PR,payroll,7396.41
COST001094,2018-01-19,RS,marketing,640.98
COST001095,2017-05-04,SC,warehouse,5780.44
COST001096,2018-02-24,BA,logistics,2557.29
COST001097,2017-01-17,SP,technology,233.91
COST001098,2018-06-27,SC,logistics,2746.83
COST001099,2017-04-19,BA,customer_support,7762.43
COST001100,2017-05-13,SC,logistics,4083.49
COST001101,2017-05-08,DF,warehouse,2731.94
COST001102,2018-03-20,RS,technology,9989.33
COST001103,2017-11-21,SC,payroll,5811.85
COST001104,2017-08-15,PR,logistics,2297.43
COST001105,2017-08-27,RJ,logistics,2108.77
COST001106,2017-03-25,MG,technology,1122.63
COST001107,2018-06-06,SC,payroll,6156.01
COST001108,2017-04-27,MG,logistics,8805.12
COST001109,2017-05-06,MG,logistics,8613.33
COST001110,2018-08-12,MG,warehouse,9404.94
COST001111,2018-02-23,RJ,customer_support,328.56
COST001112,2018-04-03,DF,warehouse,5657.01
COST001113,2017-01-07,DF,marketing,9177.12
COST001114,2018-02-06,SC,warehouse,9012.97
COST001115,2017-04-26,MG,payroll,2782.68
COST001116,2017-03-03,SC,marketing,5069.26
COST001117,2017-03-22,DF,warehouse,1049.75
COST001118,2017-08-28,DF,technology,2814.52
COST001119,2017-07-16,DF,warehouse,9920.62
COST001120,2018-08-28,BA,customer_support,5892.48
COST001121,2018-08-17,SP,warehouse,9987.63
COST001122,2017-08-02,PR,customer_support,263.82
COST001123,2018-08-19,DF,warehouse,9716.43
COST001124,2017-02-11,RS,customer_support,3603.75
COST001125,2017-07-08,DF,logistics,920.88
COST001126,2017-12-08,RJ,customer_support,986.74
COST001127,2017-06-13,MG,technology,3504.73
COST001128,2017-06-22,MG,marketing,4789.44
COST001129,2018-02-20,MG,logistics,944.2
COST001130,2017-04-23,SC,technology,8530.27
COST001131,2018-04-11,PR,marketing,4911.32
COST001132,2017-02-14,RJ,customer_support,3712.75
COST001133,2017-12-10,SP,warehouse,5263.01
COST001134,2018-03-23,BA,logistics,4926.7
COST001135,2018-05-15,RS,marketing,1121.39
COST001136,2017-10-29,SP,warehouse,596.25
COST001137,2018-07-24,DF,logistics,6818.16
COST001138,2017-06-11,SP,marketing,4927.7
COST001139,2018-09-21,SC,marketing,342.59
COST001140,2018-05-23,MG,logistics,6700.99
COST001141,2017-03-06,RJ,logistics,7086.12
COST001142,2018-09-07,MG,customer_support,9703.2
COST001143,2018-07-25,BA,customer_support,6337.26
COST001144,2017-05-05,BA,marketing,2822.71
COST001145,2017-01-23,RS,payroll,2463.23
COST001146,2017-10-22,SC,warehouse,4629.04
COST001147,2018-02-25,RJ,marketing,1014.46
COST001148,2018-01-26,BA,logistics,5010.33
COST001149,2017-01-26,SP,marketing,3345.71
COST001150,2018-03-26,MG,logistics,8315.75
COST001151,2017-01-19,SP,warehouse,6979.98
COST001152,2017-11-29,SC,customer_support,2641.1
COST001153,2017-05-12,RS,logistics,4837.32
